Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
1994;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;963;Número;
1994;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;1076;Número;
1995;Total abortos voluntarios de mujeres residentes;Otros;;;8360;Número;
1995;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;1142;Número;
1995;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;12;Número;
1995;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;1964;Número;
1995;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;1583;Número;
1995;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;919;Número;
1995;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;464;Número;
1995;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;35;Número;
1995;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;2241;Número;
1996;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;525;Número;
1996;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;1196;Número;
1996;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;1688;Número;
1996;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;2126;Número;
1996;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;39;Número;
1996;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;2362;Número;
1996;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;880;Número;
1996;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;7;Número;
1996;Total abortos voluntarios de mujeres residentes;Otros;;;8827;Número;
1997;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;1702;Número;
1997;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;2172;Número;
1997;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;12;Número;
1997;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;1188;Número;
1997;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;924;Número;
1997;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;2357;Número;
1997;Total abortos voluntarios de mujeres residentes;Otros;;;8883;Número;
1997;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;487;Número;
1997;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;41;Número;
1998;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;7;Número;
1998;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;2480;Número;
1998;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;1746;Número;
1998;Total abortos voluntarios de mujeres residentes;Otros;;;9159;Número;
1998;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;1233;Número;
1998;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;492;Número;
1998;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;56;Número;
1998;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;2161;Número;
1998;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;984;Número;
1999;Total abortos voluntarios de mujeres residentes;Otros;;;10694;Número;
1999;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;52;Número;
1999;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1086;Número;
1999;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;551;Número;
1999;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;14;Número;
1999;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;1393;Número;
1999;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;1970;Número;
1999;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;2639;Número;
1999;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;2989;Número;
2000;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;2698;Número;
2000;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;3088;Número;
2000;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;1317;Número;
2000;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;2067;Número;
2000;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;44;Número;
2000;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;12;Número;
2000;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1149;Número;
2000;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;487;Número;
2000;Total abortos voluntarios de mujeres residentes;Otros;;;10862;Número;
2001;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;3596;Número;
2001;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;1533;Número;
2001;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1244;Número;
2001;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;42;Número;
2001;Total abortos voluntarios de mujeres residentes;Otros;;;12611;Número;
2001;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;21;Número;
2001;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;2411;Número;
2001;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;3243;Número;
2001;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;521;Número;
2002;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;3984;Número;
2002;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1501;Número;
2002;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;34;Número;
2002;Total abortos voluntarios de mujeres residentes;Otros;;;14687;Número;
2002;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;3787;Número;
2002;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;51;Número;
2002;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;721;Número;
2002;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;1887;Número;
2002;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;2722;Número;
2003;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;66;Número;
2003;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;2914;Número;
2003;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;4037;Número;
2003;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;4231;Número;
2003;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;677;Número;
2003;Total abortos voluntarios de mujeres residentes;Otros;;;15434;Número;
2003;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;35;Número;
2003;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;1893;Número;
2003;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1581;Número;
2004;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;772;Número;
2004;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;53;Número;
2004;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;2049;Número;
2004;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;4248;Número;
2004;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;46;Número;
2004;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;4150;Número;
2004;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1712;Número;
2004;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;3198;Número;
2004;Total abortos voluntarios de mujeres residentes;Otros;;;16228;Número;
2005;Total abortos voluntarios de mujeres residentes;Otros;;;17356;Número;
2005;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;52;Número;
2005;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1876;Número;
2005;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;4388;Número;
2005;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;4543;Número;
2005;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;3413;Número;
2005;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;2221;Número;
2005;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;815;Número;
2005;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;48;Número;
2006;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;4726;Número;
2006;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;66;Número;
2006;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;872;Número;
2006;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;2503;Número;
2006;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;2161;Número;
2006;Total abortos voluntarios de mujeres residentes;Otros;;;19242;Número;
2006;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;3743;Número;
2006;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;5105;Número;
2006;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;66;Número;
2007;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;2467;Número;
2007;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;63;Número;
2007;Total abortos voluntarios de mujeres residentes;Otros;;;22114;Número;
2007;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;75;Número;
2007;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1042;Número;
2007;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;2906;Número;
2007;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;4390;Número;
2007;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;5648;Número;
2007;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;5523;Número;
2008;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;5686;Número;
2008;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;2975;Número;
2008;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;2430;Número;
2008;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;72;Número;
2008;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;5359;Número;
2008;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1074;Número;
2008;Total abortos voluntarios de mujeres residentes;Otros;;;22126;Número;
2008;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;4463;Número;
2008;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;67;Número;
2009;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;2837;Número;
2009;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;2075;Número;
2009;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;56;Número;
2009;Total abortos voluntarios de mujeres residentes;Otros;;;20191;Número;
2009;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;5111;Número;
2009;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;4809;Número;
2009;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1022;Número;
2009;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;65;Número;
2009;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;4216;Número;
2010;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;65;Número;
2010;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;2990;Número;
2010;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;4531;Número;
2010;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;5053;Número;
2010;Total abortos voluntarios de mujeres residentes;Otros;;;20496;Número;
2010;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1090;Número;
2010;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;4574;Número;
2010;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;2110;Número;
2010;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;83;Número;
2011;Total abortos voluntarios de mujeres residentes;Otros;;;20702;Número;
2011;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;99;Número;
2011;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1159;Número;
2011;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;3237;Número;
2011;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;4589;Número;
2011;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;4934;Número;
2011;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;4512;Número;
2011;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;2104;Número;
2011;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;68;Número;
2012;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1986;Número;
2012;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;4653;Número;
2012;Total abortos voluntarios de mujeres residentes;Otros;;;20134;Número;
2012;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;3328;Número;
2012;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;62;Número;
2012;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;4527;Número;
2012;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1216;Número;
2012;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;4261;Número;
2012;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;101;Número;
2013;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;4463;Número;
2013;Total abortos voluntarios de mujeres residentes;Otros;;;19723;Número;
2013;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;3411;Número;
2013;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1319;Número;
2013;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1880;Número;
2013;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;76;Número;
2013;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;4431;Número;
2013;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;105;Número;
2013;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;4038;Número;
2014;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;3044;Número;
2014;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1271;Número;
2014;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;107;Número;
2014;Total abortos voluntarios de mujeres residentes;Otros;;;16537;Número;
2014;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;69;Número;
2014;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1515;Número;
2014;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;3281;Número;
2014;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;3652;Número;
2014;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;3598;Número;
2015;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;54;Número;
2015;Total abortos voluntarios de mujeres residentes;Otros;;;16139;Número;
2015;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;3225;Número;
2015;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1392;Número;
2015;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;3664;Número;
2015;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1236;Número;
2015;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;119;Número;
2015;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;3429;Número;
2015;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;3020;Número;
2016;Total abortos voluntarios de mujeres residentes;Otros;;;15987;Número;
2016;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;3157;Número;
2016;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;109;Número;
2016;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;3442;Número;
2016;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;3010;Número;
2016;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1241;Número;
2016;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1371;Número;
2016;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;45;Número;
2016;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;3612;Número;
2017;Total abortos voluntarios de mujeres residentes;Otros;;;16652;Número;
2017;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;118;Número;
2017;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1312;Número;
2017;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;3018;Número;
2017;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;54;Número;
2017;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;3545;Número;
2017;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;3673;Número;
2017;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;3517;Número;
2017;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1415;Número;
2018;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1438;Número;
2018;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;39;Número;
2018;Total abortos voluntarios de mujeres residentes;Otros;;;16330;Número;
2018;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;3578;Número;
2018;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;3404;Número;
2018;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1326;Número;
2018;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;3493;Número;
2018;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;2939;Número;
2018;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;113;Número;
2019;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1345;Número;
2019;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;3564;Número;
2019;Total abortos voluntarios de mujeres residentes;Otros;;;16852;Número;
2019;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;50;Número;
2019;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;3043;Número;
2019;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;108;Número;
2019;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1453;Número;
2019;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;3477;Número;
2019;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;3812;Número;
2020;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;3347;Número;
2020;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;2895;Número;
2020;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;2548;Número;
2020;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;3000;Número;
2020;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;101;Número;
2020;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;31;Número;
2020;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1140;Número;
2020;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1192;Número;
2020;Total abortos voluntarios de mujeres residentes;Otros;;;14254;Número;
2021;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;3321;Número;
2021;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;2717;Número;
2021;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1356;Número;
2021;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;100;Número;
2021;Total abortos voluntarios de mujeres residentes;Otros;;;15188;Número;
2021;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;35;Número;
2021;Abortos voluntarios de mujeres residentes entre 30 y 34 años;Otros;;;3026;Número;
2021;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;3419;Número;
2021;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1214;Número;
2022;Abortos voluntarios de mujeres residentes entre 20 y 24años;Otros;;;3690;Número;
2022;Abortos voluntarios de mujeres residentes entre 15 y 19 años;Otros;;;1491;Número;
2022;Abortos voluntarios de mujeres residentes menores de 15 años;Otros;;;36;Número;
2022;Total abortos voluntarios de mujeres residentes;Otros;;;16592;Número;
2022;Abortos voluntarios de mujeres residentes entre 25 y 29 años;Otros;;;3928;Número;
2022;Abortos voluntarios de mujeres residentes de 44 años y más;Otros;;;109;Número;
2022;Abortos voluntarios de mujeres residentes entre 40 y 44 años;Otros;;;1296;Número;
2022;Abortos voluntarios de mujeres residentes entre 35 y 39 años;Otros;;;2802;Número;
