Año;Concepto;Tipo territorio;Código territorio;Territorio;Valor;Unidad;Estado dato
2002;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2003;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2003;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;66;Número;
2003;Abortos voluntarios de mujeres residentes por violación;Otros;;;3;Número;
2003;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
2003;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
2003;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;15072;Número;
2003;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
2003;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
2003;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;293;Número;
2004;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;15872;Número;
2004;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
2004;Abortos voluntarios de mujeres residentes por violación;Otros;;;3;Número;
2004;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;89;Número;
2004;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
2004;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;264;Número;
2004;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2004;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
2004;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
2005;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
2005;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;16973;Número;
2005;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;350;Número;
2005;Abortos voluntarios de mujeres residentes por violación;Otros;;;1;Número;
2005;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;32;Número;
2005;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2005;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
2005;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
2005;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
2006;Abortos voluntarios de mujeres residentes por violación;Otros;;;2;Número;
2006;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
2006;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
2006;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
2006;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;345;Número;
2006;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
2006;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2006;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;47;Número;
2006;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;18848;Número;
2007;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;383;Número;
2007;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;21663;Número;
2007;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
2007;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
2007;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
2007;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
2007;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2007;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;68;Número;
2007;Abortos voluntarios de mujeres residentes por violación;Otros;;;0;Número;
2008;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;50;Número;
2008;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
2008;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;402;Número;
2008;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
2008;Abortos voluntarios de mujeres residentes por violación;Otros;;;1;Número;
2008;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
2008;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
2008;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2008;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;21673;Número;
2009;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;-;Número;
2009;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;407;Número;
2009;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;-;Número;
2009;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
2009;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;17;Número;
2009;Abortos voluntarios de mujeres residentes por violación;Otros;;;1;Número;
2009;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;-;Número;
2009;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;19766;Número;
2009;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2010;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;10356;Número;
2010;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;9026;Número;
2010;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2010;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;6;Número;
2010;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;-;Número;
2010;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;589;Número;
2010;Abortos voluntarios de mujeres residentes por violación;Otros;;;0;Número;
2010;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;228;Número;
2010;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;291;Número;
2011;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;502;Número;
2011;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;32;Número;
2011;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;1351;Número;
2011;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;18811;Número;
2011;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2011;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;6;Número;
2011;Abortos voluntarios de mujeres residentes por violación;Otros;;;-;Número;
2011;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;-;Número;
2011;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;-;Número;
2012;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;-;Número;
2012;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;1;Número;
2012;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;29;Número;
2012;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;18109;Número;
2012;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;-;Número;
2012;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2012;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;1491;Número;
2012;Abortos voluntarios de mujeres residentes por violación;Otros;;;-;Número;
2012;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;504;Número;
2013;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;0;Número;
2013;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;26;Número;
2013;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;16737;Número;
2013;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;2453;Número;
2013;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;-;Número;
2013;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;-;Número;
2013;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2013;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;507;Número;
2013;Abortos voluntarios de mujeres residentes por violación;Otros;;;-;Número;
2014;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;13990;Número;
2014;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;1963;Número;
2014;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;558;Número;
2014;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;26;Número;
2014;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;-;Número;
2014;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;-;Número;
2014;Abortos voluntarios de mujeres residentes por violación;Otros;;;-;Número;
2014;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;0;Número;
2014;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2015;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;-;Número;
2015;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;23;Número;
2015;Abortos voluntarios de mujeres residentes por violación;Otros;;;-;Número;
2015;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;-;Número;
2015;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2015;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;1896;Número;
2015;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;599;Número;
2015;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;0;Número;
2015;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;13621;Número;
2016;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;32;Número;
2016;Abortos voluntarios de mujeres residentes por violación;Otros;;;-;Número;
2016;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;525;Número;
2016;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2016;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;13583;Número;
2016;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;1847;Número;
2016;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;-;Número;
2016;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;-;Número;
2016;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;0;Número;
2017;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;17;Número;
2017;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;552;Número;
2017;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;1740;Número;
2017;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;14343;Número;
2017;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;-;Número;
2017;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2017;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;0;Número;
2017;Abortos voluntarios de mujeres residentes por violación;Otros;;;-;Número;
2017;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;-;Número;
2018;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;-;Número;
2018;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;-;Número;
2018;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;17;Número;
2018;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;0;Número;
2018;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2018;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;1574;Número;
2018;Abortos voluntarios de mujeres residentes por violación;Otros;;;-;Número;
2018;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;14214;Número;
2018;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;525;Número;
2019;Abortos voluntarios de mujeres residentes por grave riesgo para la vida o salud de la embarazada;Otros;;;1757;Número;
2019;Abortos voluntarios de mujeres residentes por violación;Otros;;;-;Número;
2019;Abortos voluntarios de mujeres residentes de anomalías fetales incompatibles con la vida o enfermedad extremadamente grave e incurable;Otros;;;22;Número;
2019;Abortos voluntarios de mujeres residentes por salud materna;Otros;;;-;Número;
2019;Abortos voluntarios de mujeres residentes a petición de la mujer;Otros;;;14574;Número;
2019;Abortos voluntarios de mujeres residentes por riesgo de graves anomalías del feto;Otros;;;499;Número;
2019;Abortos voluntarios de mujeres residentes por riesgo fetal;Otros;;;-;Número;
2019;Abortos voluntarios de mujeres residentes de los que no constan los motivos;Otros;;;0;Número;
2019;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;0;Número;
2020;Abortos voluntarios de mujeres residentes por motivos varios;Otros;;;0;Número;
